"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","957","Check contract for empty online orders history with status: All","tests.api.sales.orders.online","Sat Mar 14 17:10:11 UTC 2026","broken","Sat Mar 14 17:10:12 UTC 2026","TestSchemeEmptyState","test_history_empty_state","",""
"","406","Check list info params for online orders history with {'page': 2, 'limit': 10, 'status': 'All'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:16 UTC 2026","passed","Sat Mar 14 17:10:16 UTC 2026","TestListInfo","test_history_positive","",""
"","797","Check contract for empty online orders history with status: Done","tests.api.sales.orders.online","Sat Mar 14 17:10:12 UTC 2026","broken","Sat Mar 14 17:10:12 UTC 2026","TestSchemeEmptyState","test_history_empty_state","",""
"","1045","Check each item type from items for online orders history:","tests.api.sales.orders.online","Sat Mar 14 17:10:16 UTC 2026","passed","Sat Mar 14 17:10:17 UTC 2026","TestItemType","test_history_positive","",""
"","1107","Check each item from items has correct status with input status: All","tests.api.sales.orders.online","Sat Mar 14 17:10:18 UTC 2026","passed","Sat Mar 14 17:10:19 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1082","Check sum qnt items from all pages","tests.api.sales.orders.online","Sat Mar 14 17:10:21 UTC 2026","passed","Sat Mar 14 17:10:22 UTC 2026","TestSellerConsistency","test_history_positive","",""
"","386","Check contract for filled online orders history with status: Cancel","tests.api.sales.orders.online","Sat Mar 14 17:10:13 UTC 2026","passed","Sat Mar 14 17:10:13 UTC 2026","TestScheme","test_history_positive","",""
"","1090","Check list info params for online orders history with {'page': 0, 'limit': 40, 'status': 'Done'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:16 UTC 2026","passed","Sat Mar 14 17:10:18 UTC 2026","TestListInfo","test_history_positive","",""
"","970","test_goods_qnt_equal_image_qnt","tests.api.sales.orders.online","Sat Mar 14 17:10:23 UTC 2026","passed","Sat Mar 14 17:10:24 UTC 2026","TestOnlineOrdersGoodsAndImageConsistency","test_history_positive","",""
"","2353","Check sum of Done and Cancel orders for online orders history:","tests.api.sales.orders.online","Sat Mar 14 17:10:14 UTC 2026","passed","Sat Mar 14 17:10:16 UTC 2026","TestListInfo","test_history_positive","",""
"","1065","Check each item from items has correct status with input status: Done","tests.api.sales.orders.online","Sat Mar 14 17:10:19 UTC 2026","passed","Sat Mar 14 17:10:20 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","436","Check quantity items for filled online orders history with status: Cancel","tests.api.sales.orders.online","Sat Mar 14 17:10:19 UTC 2026","passed","Sat Mar 14 17:10:20 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","387","Check list info params for online orders history with {'page': 0, 'limit': 40, 'status': 'Cancel'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:13 UTC 2026","passed","Sat Mar 14 17:10:14 UTC 2026","TestListInfo","test_history_positive","",""
"","1879","Each picture from orders isn't broken","tests.api.sales.orders.online","Sat Mar 14 17:10:22 UTC 2026","passed","Sat Mar 14 17:10:24 UTC 2026","TestOnlineOrdersImage","test_history_positive","",""
"","1036","Check sum qnt items from all pages","tests.api.sales.orders.online","Sat Mar 14 17:10:20 UTC 2026","passed","Sat Mar 14 17:10:21 UTC 2026","TestQntAllItemsViaPagination","test_history_positive","",""
"","405","Check list info params for online orders history with {'page': 10, 'limit': 1, 'status': 'All'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:16 UTC 2026","passed","Sat Mar 14 17:10:16 UTC 2026","TestListInfo","test_history_positive","",""
"","1004","test_order_prices","tests.api.sales.orders.online","Sat Mar 14 17:10:22 UTC 2026","passed","Sat Mar 14 17:10:23 UTC 2026","TestOnlineOrdersPrice","test_history_positive","",""
"","1014","Check list info params for online orders history with {'page': 0, 'limit': 40, 'status': 'All'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:14 UTC 2026","passed","Sat Mar 14 17:10:15 UTC 2026","TestListInfo","test_history_positive","",""
"","965","All ids are unique","tests.api.sales.orders.online","Sat Mar 14 17:10:20 UTC 2026","passed","Sat Mar 14 17:10:21 UTC 2026","TestIdsUniqueness","test_history_positive","",""
"","1105","All items sorted by date","tests.api.sales.orders.online","Sat Mar 14 17:10:21 UTC 2026","passed","Sat Mar 14 17:10:22 UTC 2026","TestOrdersSorting","test_history_positive","",""
"","977","Check quantity items for filled online orders history with status: Done","tests.api.sales.orders.online","Sat Mar 14 17:10:18 UTC 2026","passed","Sat Mar 14 17:10:19 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","408","Check each item from items has correct status with input status: Cancel","tests.api.sales.orders.online","Sat Mar 14 17:10:20 UTC 2026","passed","Sat Mar 14 17:10:20 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","1109","test_id_and_name_consistency","tests.api.sales.orders.online","Sat Mar 14 17:10:24 UTC 2026","passed","Sat Mar 14 17:10:25 UTC 2026","TestOnlineOrdersIdAndNameConsistency","test_history_positive","",""
"","1018","test_order_goods_quantity","tests.api.sales.orders.online","Sat Mar 14 17:10:24 UTC 2026","passed","Sat Mar 14 17:10:25 UTC 2026","TestOnlineOrdersGoodsQuantity","test_history_positive","",""
"","834","Check list info params for online orders history with {'page': 0, 'limit': 10, 'status': 'All'}:","tests.api.sales.orders.online","Sat Mar 14 17:10:15 UTC 2026","failed","Sat Mar 14 17:10:16 UTC 2026","TestListInfo","test_history_positive","",""
"","1043","Check contract for filled online orders history with status: All","tests.api.sales.orders.online","Sat Mar 14 17:10:11 UTC 2026","passed","Sat Mar 14 17:10:12 UTC 2026","TestScheme","test_history_positive","",""
"","387","test_order_data_equal_data_from_db","tests.api.sales.orders.online","Sat Mar 14 17:10:25 UTC 2026","passed","Sat Mar 14 17:10:25 UTC 2026","TestOnlineOrdersOrderDataEqualDataFromDB","test_history_positive","",""
"","1067","Check quantity items for filled online orders history with status: All","tests.api.sales.orders.online","Sat Mar 14 17:10:17 UTC 2026","passed","Sat Mar 14 17:10:18 UTC 2026","TestOnlineOrdersFilterStatus","test_history_positive","",""
"","375","Check contract for empty online orders history with status: Cancel","tests.api.sales.orders.online","Sat Mar 14 17:10:12 UTC 2026","failed","Sat Mar 14 17:10:13 UTC 2026","TestSchemeEmptyState","test_history_empty_state","",""
"","1124","Check contract for filled online orders history with status: Done","tests.api.sales.orders.online","Sat Mar 14 17:10:12 UTC 2026","passed","Sat Mar 14 17:10:13 UTC 2026","TestScheme","test_history_positive","",""
